DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2014-12-02 23:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9896.93	2017-09-14 04:18:49.049
2014-12-03 00:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9543.03	2017-09-14 04:18:49.049
2014-12-03 01:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9279.11	2017-09-14 04:18:49.049
2014-12-03 02:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9125.01	2017-09-14 04:18:49.049
2014-12-03 03:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9277.28	2017-09-14 04:18:49.049
2014-12-03 04:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	9766.28	2017-09-14 04:18:49.049
2014-12-03 05:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11052.50	2017-09-14 04:18:49.049
2014-12-03 06:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12168.71	2017-09-14 04:18:49.049
2014-12-03 07:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12267.89	2017-09-14 04:18:49.049
2014-12-03 08:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12411.59	2017-09-14 04:18:49.049
2014-12-03 09:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12489.82	2017-09-14 04:18:49.049
2014-12-03 10:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12640.12	2017-09-14 04:18:49.049
2014-12-03 11:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12423.18	2017-09-14 04:18:49.049
2014-12-03 12:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12482.81	2017-09-14 04:18:49.049
2014-12-03 13:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12361.58	2017-09-14 04:18:49.049
2014-12-03 14:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12352.00	2017-09-14 04:18:49.049
2014-12-03 15:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12362.19	2017-09-14 04:18:49.049
2014-12-03 16:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	13058.92	2017-09-14 04:18:49.049
2014-12-03 17:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12874.25	2017-09-14 04:18:49.049
2014-12-03 18:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	12284.62	2017-09-14 04:18:49.049
2014-12-03 19:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11673.59	2017-09-14 04:18:49.049
2014-12-03 20:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11147.21	2017-09-14 04:18:49.049
2014-12-03 21:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	11281.63	2017-09-14 04:18:49.049
2014-12-03 22:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	10869.41	2017-09-14 04:18:49.049
2014-12-03 23:30:00.000	PT15M	10YBE----------2	CTA	BE CTA	BE	10416.36	2017-09-14 04:18:49.049
2014-12-02 23:30:00.000	PT15M	10YBE----------2	BZN	BE BZN	BE	9896.93	2017-09-14 04:18:49.049
